n_layers_2.0,n_layers_2.0.1,n_layers_1.0,n_layers_2.0.2,n_layers_3.0,n_layers_1.0.1,n_layers_2.0.3,n_layers_3.0.1,n_layers_4.0
2.563212585449219,2.5744049072265627,2.582496948242188,2.723940734863281,3.093296813964844,2.555645294189453,2.80598388671875,3.2189254760742188,3.2780474853515624
2.5442271423339844,2.54741455078125,2.5467041015625,2.6960577392578124,3.0596719360351563,2.5394908142089845,2.770958251953125,3.176813659667969,3.2585415649414062
2.524869842529297,2.5166656494140627,2.524122467041016,2.64653076171875,3.013995971679688,2.5013491821289064,2.705824279785156,3.154619140625,3.212848815917969
2.4994952392578127,2.478137512207032,2.4784698486328125,2.595935363769532,2.963662109375,2.491893005371094,2.668668823242188,3.120191955566406,3.172940673828125
2.4712603759765623,2.439339904785156,2.466619873046875,2.5951190185546875,2.9209503173828124,2.454773406982422,2.631071166992188,3.06521728515625,3.1502813720703124
2.4146778869628904,2.443572998046875,2.4474807739257813,2.554192199707032,2.8808734130859377,2.440160217285156,2.595701904296875,3.046651306152344,3.085689697265625
2.403883514404297,2.394700164794922,2.4200987243652343,2.5187832641601564,2.8368356323242185,2.4281744384765624,2.5656048583984377,2.9657717895507814,3.0471060180664065
2.3854197692871093,2.3817848205566405,2.427755584716797,2.4859689331054686,2.8064895629882813,2.4017706298828125,2.5240863037109373,2.932686767578125,3.0165728759765624
2.3746946716308592,2.381761169433594,2.38802734375,2.4590142822265624,2.753242492675781,2.386208190917969,2.5115928649902344,2.912310791015625,2.9813546752929687
2.364923553466797,2.3500152587890626,2.382346954345703,2.4358502197265626,2.711885681152344,2.3683653259277344,2.4779586791992188,2.851531677246094,2.9506161499023436
2.3176246643066407,2.349417877197266,2.3379666137695314,2.403984375,2.6980075073242187,2.336353759765625,2.46941635131836,2.8329156494140624,2.9167776489257813
2.3237179565429686,2.338240203857422,2.3337794494628907,2.402629089355469,2.648138427734375,2.339347686767578,2.434971466064453,2.7951922607421875,2.90142822265625
2.3116432189941407,2.3206021118164064,2.327513885498047,2.3723190307617186,2.6324261474609374,2.3235037231445315,2.398647766113281,2.748314208984375,2.865318603515625
2.2947518920898435,2.305150299072265,2.323144836425781,2.351706695556641,2.5844595336914065,2.299609832763672,2.4012516784667968,2.731365966796875,2.8613116455078127
