learning_rate_0.005,learning_rate_0.01,learning_rate_0.05,learning_rate_0.1
2.522146759033203,2.270852355957031,2.7025115966796878,2.7793405151367185
2.516065216064453,2.2415174865722656,2.6923373413085936,2.7732693481445314
2.515093994140625,2.221781768798828,2.672602233886719,2.7474444580078123
2.4912545776367185,2.218283386230469,2.6280621337890624,2.7379833984375
2.4807060241699217,2.19985580444336,2.630369873046875,2.734696350097656
2.447630615234375,2.1731361389160155,2.6085137939453125,2.717961730957031
2.431171722412109,2.1912741088867187,2.605674743652344,2.69654541015625
2.4014596557617187,2.1632281494140626,2.5923199462890625,2.687344665527344
2.404762420654297,2.142137298583984,2.5677716064453127,2.6971206665039062
2.4129347229003906,2.146986083984375,2.5389479064941405,2.665433044433594
2.3721330261230467,2.12271499633789,2.546267242431641,2.6411141967773437
2.3965805053710936,2.139537506103516,2.5232774353027345,2.6425399780273438
2.3706126403808594,2.108521881103516,2.51229248046875,2.6308718872070314
2.350650329589844,2.10539306640625,2.5058108520507814,2.6184490966796874
2.332621765136719,2.09727294921875,2.481894989013672,2.607566223144531
2.330790710449219,2.087776336669922,2.469257507324219,2.6128662109375
2.30357421875,2.0828707885742186,2.468492889404297,2.568960876464844
2.281300048828125,2.06658203125,2.445657501220703,2.602423095703125
2.3119961547851564,2.0674609375,2.4535481262207037,2.5878839111328125
2.265070037841797,2.0473834228515626,2.450396423339844,2.556547088623047
2.272552795410156,2.024908142089844,2.4076145935058597,2.565635070800781
2.2720127868652344,2.0424234008789064,2.418211212158204,2.560543212890625
2.256277160644532,2.0294476318359376,2.432759246826172,2.5682666015625
2.2453652954101564,2.021639862060547,2.3977615356445314,2.539597930908203
2.239954528808594,2.016965026855469,2.3832406616210937,2.5451873779296874
2.2333079528808595,1.9964007568359368,2.39106689453125,2.549715270996094
2.208167266845704,2.003892669677734,2.372190399169922,2.547637939453125
2.2328109741210938,1.9836373901367188,2.39164306640625,2.5250285339355467
2.1993557739257814,1.9762075805664063,2.369736785888672,2.5135032653808596
2.205553436279297,1.9567120361328123,2.362572631835937,2.4991445922851563
2.191855773925781,1.964188537597656,2.34583999633789,2.4924110412597655
2.1914295959472656,1.948180847167969,2.3521463012695314,2.4926358032226563
2.1805210876464844,1.948646545410156,2.36387451171875,2.5207147216796875
2.1538685607910155,1.9595149230957032,2.3536463928222657,2.466087188720703
2.160758514404297,1.904518432617188,2.3133834838867187,2.4900083923339844
2.149656066894531,1.9276763916015625,2.3111282348632813,2.491824493408203
2.1301924133300782,1.9389366149902345,2.3099119567871096,2.4529045104980467
2.126840667724609,1.9412432861328128,2.3259536743164064,2.4619961547851563
2.122464294433594,1.9166642761230468,2.288634643554688,2.45501708984375
2.127586212158203,1.9024026489257813,2.318634185791016,2.4321192932128906
2.095073852539062,1.890167236328125,2.2934715270996096,2.4353153991699217
